,Path1CatapultCount,Path2CatapultCount,Path1BatteringRamCount,Path2BatteringRamCount,Path1LightSoldierCount,Path2LightSoldierCount,Path1MediumSoldierCount,Path2MediumSoldierCount,Path1HeavySoldierCount,Path2HeavySoldierCount,Path1ArcherCount,Path2ArcherCount,Path3LightSoldierCount,Path3MediumSoldierCount,Path3HeavySoldierCount,Path3BatteringRamCount,Path3CatapultCount,Path3ArcherCount,Path4LightSoldierCount,Path4MediumSoldierCount,Path4HeavySoldierCount,Path4BatteringRamCount,Path4CatapultCount,Path4ArcherCount,HeavyArrowCountIncrease,LightArrowCountIncrease,Seconds Between Next Wave
Wave1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wave2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wave3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,,,,,,,